,Lib Dem,Labour,UKIP,Conservative
2017-09-16,2780.0,,,
2017-09-17,4221.0,,,
2017-09-18,3146.0,,,
2017-09-19,4221.0,,,
2017-09-24,,17472.0,,
2017-09-25,,23275.0,,
2017-09-26,,18287.0,,
2017-09-27,,19580.0,,
2017-09-29,,,8942.0,
2017-09-30,,,5800.0,
2017-10-01,,,,15007.0
2017-10-02,,,,17378.0
2017-10-03,,,,19716.0
2017-10-04,,,,28704.0
