,Lib Dem,Labour,UKIP,Conservative
2017-09-26 06:00:00,,5.0,,
2017-09-26 07:00:00,,7.0,,
2017-09-26 08:00:00,,9.0,,
2017-09-26 09:00:00,,8.0,,
2017-09-26 10:00:00,,11.0,,
2017-09-26 11:00:00,,35.0,,
2017-09-26 12:00:00,,46.0,,
2017-09-26 13:00:00,,18.0,,
2017-09-26 14:00:00,,6.0,,
2017-09-26 15:00:00,,5.0,,
2017-09-26 16:00:00,,14.0,,
2017-09-26 17:00:00,,9.0,,
2017-09-26 18:00:00,,0.0,,
2017-09-26 19:00:00,,7.0,,
2017-09-26 20:00:00,,3.0,,
2017-09-26 21:00:00,,3.0,,
2017-09-26 22:00:00,,5.0,,
2017-09-26 23:00:00,,0.0,,
2017-09-27 00:00:00,,0.0,,
2017-09-27 01:00:00,,0.0,,
2017-09-27 02:00:00,,0.0,,
2017-09-27 03:00:00,,1.0,,
2017-09-27 04:00:00,,0.0,,
2017-09-27 05:00:00,,0.0,,
2017-09-27 06:00:00,,7.0,,
2017-09-27 07:00:00,,4.0,,
2017-09-27 08:00:00,,7.0,,
2017-09-27 09:00:00,,12.0,,
2017-09-27 10:00:00,,4.0,,
2017-09-27 11:00:00,,26.0,,
2017-09-27 12:00:00,,62.0,,
2017-09-27 13:00:00,,16.0,,
2017-09-27 14:00:00,,7.0,,
2017-09-27 15:00:00,,8.0,,
2017-09-27 16:00:00,,3.0,,
2017-09-27 17:00:00,,7.0,,
2017-09-27 18:00:00,,4.0,,
2017-09-27 19:00:00,,7.0,,
2017-09-27 20:00:00,,3.0,,
2017-09-27 21:00:00,,2.0,,
2017-09-27 22:00:00,,1.0,,
2017-09-27 23:00:00,,2.0,,
2017-09-29 11:00:00,,,1.0,
2017-09-29 12:00:00,,,0.0,
2017-09-29 13:00:00,,,1.0,
2017-09-29 14:00:00,,,2.0,
2017-09-29 15:00:00,,,2.0,
2017-09-29 16:00:00,,,0.0,
2017-09-29 17:00:00,,,3.0,
2017-09-29 18:00:00,,,0.0,
2017-09-29 19:00:00,,,0.0,
2017-09-29 20:00:00,,,1.0,
2017-09-29 21:00:00,,,1.0,
2017-09-29 22:00:00,,,0.0,
2017-09-29 23:00:00,,,0.0,
2017-09-30 00:00:00,,,1.0,
2017-09-30 01:00:00,,,0.0,
2017-09-30 02:00:00,,,0.0,
2017-09-30 03:00:00,,,0.0,
2017-09-30 04:00:00,,,0.0,
2017-09-30 05:00:00,,,0.0,
2017-09-30 06:00:00,,,0.0,
2017-09-30 07:00:00,,,0.0,
2017-09-30 08:00:00,,,0.0,
2017-09-30 09:00:00,,,0.0,
2017-09-30 10:00:00,,,0.0,
2017-09-30 11:00:00,,,0.0,
2017-09-30 12:00:00,,,3.0,
2017-09-30 13:00:00,,,1.0,
2017-09-30 14:00:00,,,1.0,
2017-09-30 15:00:00,,,0.0,
2017-09-30 16:00:00,,,0.0,
2017-09-30 17:00:00,,,2.0,
2017-09-30 18:00:00,,,1.0,
2017-09-30 19:00:00,,,2.0,
2017-09-30 20:00:00,,,0.0,
2017-09-30 21:00:00,,,1.0,
2017-09-30 22:00:00,,,1.0,
2017-10-01 06:00:00,,,,1.0
2017-10-01 07:00:00,,,,1.0
2017-10-01 08:00:00,,,,3.0
2017-10-01 09:00:00,,,,4.0
2017-10-01 10:00:00,,,,6.0
2017-10-01 11:00:00,,,,3.0
2017-10-01 12:00:00,,,,8.0
2017-10-01 13:00:00,,,,9.0
2017-10-01 14:00:00,,,,7.0
2017-10-01 15:00:00,,,,11.0
2017-10-01 16:00:00,,,,23.0
2017-10-01 17:00:00,,,,11.0
2017-10-01 18:00:00,,,,17.0
2017-10-01 19:00:00,,,,6.0
2017-10-01 20:00:00,,,,5.0
2017-10-01 21:00:00,,,,8.0
2017-10-01 22:00:00,,,,1.0
2017-10-01 23:00:00,,,,2.0
2017-10-02 00:00:00,,,,0.0
2017-10-02 01:00:00,,,,0.0
2017-10-02 02:00:00,,,,0.0
2017-10-02 03:00:00,,,,0.0
2017-10-02 04:00:00,,,,0.0
2017-10-02 05:00:00,,,,1.0
2017-10-02 06:00:00,,,,3.0
2017-10-02 07:00:00,,,,9.0
2017-10-02 08:00:00,,,,11.0
2017-10-02 09:00:00,,,,40.0
2017-10-02 10:00:00,,,,15.0
2017-10-02 11:00:00,,,,22.0
2017-10-02 12:00:00,,,,33.0
2017-10-02 13:00:00,,,,39.0
2017-10-02 14:00:00,,,,14.0
2017-10-02 15:00:00,,,,25.0
2017-10-02 16:00:00,,,,9.0
2017-10-02 17:00:00,,,,27.0
2017-10-02 18:00:00,,,,4.0
2017-10-02 19:00:00,,,,5.0
2017-10-02 20:00:00,,,,6.0
2017-10-02 21:00:00,,,,2.0
2017-10-02 22:00:00,,,,3.0
2017-10-02 23:00:00,,,,0.0
2017-10-03 00:00:00,,,,0.0
2017-10-03 01:00:00,,,,0.0
2017-10-03 02:00:00,,,,0.0
2017-10-03 03:00:00,,,,0.0
2017-10-03 04:00:00,,,,1.0
2017-10-03 05:00:00,,,,1.0
2017-10-03 06:00:00,,,,3.0
2017-10-03 07:00:00,,,,5.0
2017-10-03 08:00:00,,,,10.0
2017-10-03 09:00:00,,,,43.0
2017-10-03 10:00:00,,,,24.0
2017-10-03 11:00:00,,,,48.0
2017-10-03 12:00:00,,,,50.0
