,Lib Dem,Labour,UKIP,Conservative
2017-09-26 13:00:00,,1227.0,,
2017-09-26 14:00:00,,1081.0,,
2017-09-26 15:00:00,,1042.0,,
2017-09-26 16:00:00,,1211.0,,
2017-09-26 17:00:00,,1238.0,,
2017-09-26 18:00:00,,1056.0,,
2017-09-26 19:00:00,,863.0,,
2017-09-26 20:00:00,,662.0,,
2017-09-26 21:00:00,,696.0,,
2017-09-26 22:00:00,,545.0,,
2017-09-26 23:00:00,,235.0,,
2017-09-27 00:00:00,,111.0,,
2017-09-27 01:00:00,,70.0,,
2017-09-27 02:00:00,,49.0,,
2017-09-27 03:00:00,,49.0,,
2017-09-27 04:00:00,,62.0,,
2017-09-27 05:00:00,,178.0,,
2017-09-27 06:00:00,,433.0,,
2017-09-27 07:00:00,,556.0,,
2017-09-27 08:00:00,,631.0,,
2017-09-27 09:00:00,,737.0,,
2017-09-27 10:00:00,,891.0,,
2017-09-27 11:00:00,,3354.0,,
2017-09-27 12:00:00,,4141.0,,
2017-09-27 13:00:00,,1396.0,,
2017-09-27 14:00:00,,910.0,,
2017-09-27 15:00:00,,884.0,,
2017-09-27 16:00:00,,902.0,,
2017-09-27 17:00:00,,1034.0,,
2017-09-27 18:00:00,,794.0,,
2017-09-27 19:00:00,,648.0,,
2017-09-27 20:00:00,,577.0,,
2017-09-27 21:00:00,,629.0,,
2017-09-27 22:00:00,,333.0,,
2017-09-27 23:00:00,,211.0,,
2017-09-29 00:00:00,,,5.0,
2017-09-29 01:00:00,,,2.0,
2017-09-29 02:00:00,,,4.0,
2017-09-29 03:00:00,,,3.0,
2017-09-29 04:00:00,,,10.0,
2017-09-29 05:00:00,,,26.0,
2017-09-29 06:00:00,,,47.0,
2017-09-29 07:00:00,,,95.0,
2017-09-29 08:00:00,,,103.0,
2017-09-29 09:00:00,,,223.0,
2017-09-29 10:00:00,,,348.0,
2017-09-29 11:00:00,,,532.0,
2017-09-29 12:00:00,,,616.0,
2017-09-29 13:00:00,,,584.0,
2017-09-29 14:00:00,,,878.0,
2017-09-29 15:00:00,,,1470.0,
2017-09-29 16:00:00,,,940.0,
2017-09-29 17:00:00,,,694.0,
2017-09-29 18:00:00,,,565.0,
2017-09-29 19:00:00,,,552.0,
2017-09-29 20:00:00,,,417.0,
2017-09-29 21:00:00,,,335.0,
2017-09-29 22:00:00,,,309.0,
2017-09-29 23:00:00,,,184.0,
2017-09-30 00:00:00,,,110.0,
2017-09-30 01:00:00,,,45.0,
2017-09-30 02:00:00,,,30.0,
2017-09-30 03:00:00,,,22.0,
2017-09-30 04:00:00,,,42.0,
2017-09-30 05:00:00,,,81.0,
2017-09-30 06:00:00,,,157.0,
2017-09-30 07:00:00,,,280.0,
2017-09-30 08:00:00,,,325.0,
2017-09-30 09:00:00,,,450.0,
2017-09-30 10:00:00,,,346.0,
2017-09-30 11:00:00,,,350.0,
2017-09-30 12:00:00,,,387.0,
2017-09-30 13:00:00,,,586.0,
2017-09-30 14:00:00,,,445.0,
2017-09-30 15:00:00,,,352.0,
2017-09-30 16:00:00,,,350.0,
2017-09-30 17:00:00,,,243.0,
2017-09-30 18:00:00,,,260.0,
2017-09-30 19:00:00,,,268.0,
2017-09-30 20:00:00,,,246.0,
2017-09-30 21:00:00,,,205.0,
2017-09-30 22:00:00,,,108.0,
2017-09-30 23:00:00,,,112.0,
2017-10-01 00:00:00,,,,81.0
2017-10-01 01:00:00,,,,31.0
2017-10-01 02:00:00,,,,34.0
2017-10-01 03:00:00,,,,25.0
2017-10-01 04:00:00,,,,27.0
2017-10-01 05:00:00,,,,53.0
2017-10-01 06:00:00,,,,180.0
2017-10-01 07:00:00,,,,289.0
2017-10-01 08:00:00,,,,538.0
2017-10-01 09:00:00,,,,766.0
2017-10-01 10:00:00,,,,1146.0
2017-10-01 11:00:00,,,,1013.0
2017-10-01 12:00:00,,,,878.0
2017-10-01 13:00:00,,,,1243.0
2017-10-01 14:00:00,,,,1546.0
2017-10-01 15:00:00,,,,1356.0
2017-10-01 16:00:00,,,,1071.0
2017-10-01 17:00:00,,,,1143.0
2017-10-01 18:00:00,,,,839.0
2017-10-01 19:00:00,,,,949.0
2017-10-01 20:00:00,,,,634.0
2017-10-01 21:00:00,,,,572.0
2017-10-01 22:00:00,,,,305.0
2017-10-01 23:00:00,,,,288.0
2017-10-02 00:00:00,,,,139.0
2017-10-02 01:00:00,,,,61.0
2017-10-02 02:00:00,,,,32.0
2017-10-02 03:00:00,,,,28.0
2017-10-02 04:00:00,,,,49.0
2017-10-02 05:00:00,,,,150.0
2017-10-02 06:00:00,,,,352.0
2017-10-02 07:00:00,,,,621.0
2017-10-02 08:00:00,,,,862.0
2017-10-02 09:00:00,,,,1086.0
2017-10-02 10:00:00,,,,1249.0
2017-10-02 11:00:00,,,,1999.0
2017-10-02 12:00:00,,,,1491.0
2017-10-02 13:00:00,,,,1193.0
2017-10-02 14:00:00,,,,1014.0
2017-10-02 15:00:00,,,,1290.0
2017-10-02 16:00:00,,,,992.0
2017-10-02 17:00:00,,,,1162.0
2017-10-02 18:00:00,,,,860.0
2017-10-02 19:00:00,,,,684.0
2017-10-02 20:00:00,,,,754.0
2017-10-02 21:00:00,,,,615.0
2017-10-02 22:00:00,,,,481.0
2017-10-02 23:00:00,,,,214.0
2017-10-03 00:00:00,,,,101.0
2017-10-03 01:00:00,,,,104.0
2017-10-03 02:00:00,,,,58.0
2017-10-03 03:00:00,,,,52.0
2017-10-03 04:00:00,,,,89.0
2017-10-03 05:00:00,,,,163.0
2017-10-03 06:00:00,,,,430.0
2017-10-03 07:00:00,,,,817.0
2017-10-03 08:00:00,,,,874.0
2017-10-03 09:00:00,,,,1233.0
2017-10-03 10:00:00,,,,1168.0
2017-10-03 11:00:00,,,,1598.0
2017-10-03 12:00:00,,,,1392.0
2017-10-03 13:00:00,,,,1734.0
2017-10-03 14:00:00,,,,2258.0
2017-10-03 15:00:00,,,,1610.0
2017-10-03 16:00:00,,,,1008.0
2017-10-03 17:00:00,,,,1258.0
2017-10-03 18:00:00,,,,928.0
2017-10-03 19:00:00,,,,728.0
2017-10-03 20:00:00,,,,683.0
2017-10-03 21:00:00,,,,579.0
2017-10-03 22:00:00,,,,523.0
2017-10-03 23:00:00,,,,328.0
2017-10-04 00:00:00,,,,107.0
2017-10-04 01:00:00,,,,50.0
2017-10-04 02:00:00,,,,51.0
2017-10-04 03:00:00,,,,35.0
2017-10-04 04:00:00,,,,74.0
2017-10-04 05:00:00,,,,153.0
2017-10-04 06:00:00,,,,469.0
2017-10-04 07:00:00,,,,621.0
2017-10-04 08:00:00,,,,682.0
2017-10-04 09:00:00,,,,788.0
2017-10-04 10:00:00,,,,2604.0
2017-10-04 11:00:00,,,,9950.0
2017-10-04 12:00:00,,,,3360.0
2017-10-04 13:00:00,,,,1662.0
2017-10-04 14:00:00,,,,1175.0
2017-10-04 15:00:00,,,,1039.0
2017-10-04 16:00:00,,,,1032.0
2017-10-04 17:00:00,,,,1046.0
2017-10-04 18:00:00,,,,804.0
2017-10-04 19:00:00,,,,688.0
2017-10-04 20:00:00,,,,629.0
2017-10-04 21:00:00,,,,953.0
2017-10-04 22:00:00,,,,520.0
2017-10-04 23:00:00,,,,212.0
